ID,Model,ModelParameters,TransformationParameters,Ensemble
011de9107789a82e4bedc7dfcc519d5b,GLS,{},"{""fillna"": ""zero"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {}}}",0
02558157255872ff8341ddd99cce774e,SeasonalityMotif,"{""window"": 15, ""point_method"": ""midhinge"", ""distance_metric"": ""mae"", ""k"": 10, ""datepart_method"": ""common_fourier""}","{""fillna"": ""zero"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""ClipOutliers"", ""3"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""method"": ""remove"", ""std_threshold"": 2, ""fillna"": ""ffill""}, ""3"": {""method"": 0.5}}}",0
0744dd6c86c10ce06ffbb10a9340a792,MAR,"{""seasonality"": 7, ""family"": ""gamma"", ""maxiter"": 200}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {}}}",0
0c237fb678642643df42aec94f8aa24f,Cassandra,"{""preprocessing_transformation"": {""fillna"": ""pad"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""AlignLastDiff""}, ""transformation_params"": {""0"": {""lag_1"": 12, ""method"": ""LastValue""}, ""1"": {""rows"": 364, ""displacement_rows"": 1, ""quantile"": 1.0, ""decay_span"": null}}}, ""scaling"": {""fillna"": null, ""transformations"": {""0"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {""output_distribution"": ""uniform"", ""n_quantiles"": 53}}}, ""past_impacts_intervention"": null, ""seasonalities"": [7, 365.25], ""ar_lags"": null, ""ar_interaction_seasonality"": null, ""anomaly_detector_params"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DatepartRegression""}, ""transformation_params"": {""0"": {""datepart_method"": ""simple_3"", ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}}}}, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24""}, ""anomaly_intervention"": ""remove"", ""holiday_detector_params"": {""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": {""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""bkfilter"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": true}}}, ""method_params"": {""iqr_threshold"": 2.0, ""iqr_quantiles"": [0.25, 0.75]}, ""fillna"": ""linear""}, ""remove_excess_anomalies"": false, ""impact"": null, ""regression_params"": null, ""output"": ""multivariate""}, ""holiday_countries_used"": false, ""multivariate_feature"": null, ""multivariate_transformation"": null, ""regressor_transformation"": null, ""regressors_used"": false, ""linear_model"": {""model"": ""lstsq"", ""lambda"": 100, ""recency_weighting"": null}, ""randomwalk_n"": 10, ""trend_window"": 90, ""trend_standin"": null, ""trend_anomaly_detector_params"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}}}, ""method_params"": {""distribution"": ""norm"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24""}, ""trend_transformation"": {""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""bkfilter""}, ""transformation_params"": {""0"": {}}}, ""trend_model"": {""Model"": ""MetricMotif"", ""ModelParameters"": {""window"": 7, ""point_method"": ""mean"", ""distance_metric"": ""mae"", ""k"": 10, ""comparison_transformation"": {""fillna"": ""quadratic"", ""transformations"": {""0"": null}, ""transformation_params"": {""0"": {}}}, ""combination_transformation"": {""fillna"": ""ffill"", ""transformations"": {""0"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}}}, ""trend_phi"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""QuantileTransformer"", ""4"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""output_distribution"": ""uniform"", ""n_quantiles"": 20}, ""4"": {}}}",0
0ddccaf690ffc9d1f26ccbccaa330608,GLS,{},"{""fillna"": ""median"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""method"": 0.5}}}",0
105c21429d5b5495fb729cda17a45837,FFT,"{""n_harmonics"": 5000, ""detrend"": ""linear""}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""PCA"", ""2"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}, ""1"": {""whiten"": false}, ""2"": {}}}",0
11bfb601356ef8771091d94f5564c2b7,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""mixed_metric"", ""models"": {""2a3199f94646448c27f41ff3c7b156a5"": {""Model"": ""MAR"", ""ModelParameters"": ""{\""seasonality\"": 7, \""family\"": \""gaussian\"", \""maxiter\"": 200}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""Slice\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""method\"": 0.5}, \""4\"": {}}}""}, ""2edb10664357cde4ff316c054af837f9"": {""Model"": ""SectionalMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""midhinge\"", \""distance_metric\"": \""nan_euclidean\"", \""include_differenced\"": false, \""k\"": 10, \""stride_size\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""ClipOutliers\"", \""1\"": \""PCA\"", \""2\"": \""EWMAFilter\"", \""3\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {\""method\"": \""clip\"", \""std_threshold\"": 2, \""fillna\"": null}, \""1\"": {\""whiten\"": false}, \""2\"": {\""span\"": 7}, \""3\"": {}}}""}, ""d8c3fa8105b9570443cbb611188523b0"": {""Model"": ""SectionalMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""median\"", \""distance_metric\"": \""yule\"", \""include_differenced\"": true, \""k\"": 1, \""stride_size\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""EWMAFilter\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""span\"": 7}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
120cf5efc5016a5eb78f0bee9d06da31,NVAR,"{""k"": 1, ""ridge_param"": 0.002, ""warmup_pts"": 1, ""seed_pts"": 10, ""seed_weighted"": ""exponential"", ""batch_size"": 5, ""batch_method"": ""input_order""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {}}}",0
12cfd217ce2716156d3504a136366434,MAR,"{""seasonality"": 7, ""family"": ""uniform"", ""maxiter"": 200}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""RollingMean100thN"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {}, ""3"": {}}}",0
1453d7549956cfd20370a24570fb65ef,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 7, ""lag_2"": 1}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""Slice"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""method"": 0.5}, ""3"": {}}}",0
176d683944023edd2bb4618aea23ecd7,ETS,"{""damped_trend"": false, ""trend"": null, ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""QuantileTransformer"", ""2"": ""cffilter"", ""3"": ""PCA"", ""4"": ""bkfilter""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""1"": {""output_distribution"": ""uniform"", ""n_quantiles"": 40}, ""2"": {}, ""3"": {""whiten"": false}, ""4"": {}}}",0
19c761a62e2b633a07c1a0e2ffc9362f,ETS,"{""damped_trend"": false, ""trend"": ""multiplicative"", ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""Detrend"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3}}}}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {}}}",0
1aa025824e9ef5fb73d2af014eab1175,RRVAR,"{""method"": ""dmd"", ""rank"": 1, ""maxiter"": 200}","{""fillna"": ""pad"", ""transformations"": {""0"": ""SeasonalDifference"", ""1"": ""PCA"", ""2"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {""lag_1"": 60, ""method"": ""LastValue""}, ""1"": {""whiten"": false}, ""2"": {}}}",0
1f5cf08ab2766b4d8f9a9814d81e2259,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""PCA"", ""2"": ""RegressionFilter""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""1"": {""whiten"": false}, ""2"": {""sigma"": 2, ""rolling_window"": 90, ""run_order"": ""season_first"", ""regression_params"": {""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""ScipyFilter""}, ""transformation_params"": {""0"": {""method"": ""savgol_filter"", ""method_args"": {""window_length"": 31, ""polyorder"": 3, ""deriv"": 0, ""mode"": ""interp""}}}}, ""holiday_countries_used"": false}, ""holiday_params"": null}}}",0
22afbb84bbac9030be2f5407d6262ea8,ETS,"{""damped_trend"": false, ""trend"": null, ""seasonal"": null, ""seasonal_periods"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""PowerTransformer"", ""1"": ""PCA"", ""2"": ""Slice""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""method"": 0.5}}}",0
273c10135014db95d46b19348fbd3fbe,Cassandra,"{""preprocessing_transformation"": {""fillna"": ""time"", ""transformations"": {""0"": ""MaxAbsScaler"", ""1"": ""RobustScaler""}, ""transformation_params"": {""0"": {}, ""1"": {}}}, ""scaling"": {""fillna"": null, ""transformations"": {""0"": ""QuantileTransformer""}, ""transformation_params"": {""0"": {""output_distribution"": ""uniform"", ""n_quantiles"": 53}}}, ""past_impacts_intervention"": null, ""seasonalities"": [7, 365.25], ""ar_lags"": null, ""ar_interaction_seasonality"": null, ""anomaly_detector_params"": {""method"": ""zscore"", ""transform_dict"": {""transformations"": {""0"": ""DatepartRegression""}, ""transformation_params"": {""0"": {""datepart_method"": ""simple_3"", ""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}}}}, ""method_params"": {""distribution"": ""gamma"", ""alpha"": 0.05}, ""fillna"": ""rolling_mean_24""}, ""anomaly_intervention"": ""remove"", ""holiday_detector_params"": {""threshold"": 0.9, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": {""fillna"": ""rolling_mean_24"", ""transformations"": {""0"": ""bkfilter"", ""1"": ""PCA""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": true}}}, ""method_params"": {""iqr_threshold"": 2.0, ""iqr_quantiles"": [0.25, 0.75]}, ""fillna"": ""linear""}, ""remove_excess_anomalies"": false, ""impact"": null, ""regression_params"": null, ""output"": ""multivariate""}, ""holiday_countries_used"": false, ""multivariate_feature"": null, ""multivariate_transformation"": null, ""regressor_transformation"": null, ""regressors_used"": false, ""linear_model"": {""model"": ""lstsq"", ""lambda"": 100, ""recency_weighting"": null}, ""randomwalk_n"": 10, ""trend_window"": 90, ""trend_standin"": null, ""trend_anomaly_detector_params"": null, ""trend_transformation"": {""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""bkfilter""}, ""transformation_params"": {""0"": {}}}, ""trend_model"": {""Model"": ""AverageValueNaive"", ""ModelParameters"": {""method"": ""Median"", ""window"": null}}, ""trend_phi"": null}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""QuantileTransformer"", ""4"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""output_distribution"": ""uniform"", ""n_quantiles"": 20}, ""4"": {}}}",0
2a3199f94646448c27f41ff3c7b156a5,MAR,"{""seasonality"": 7, ""family"": ""gaussian"", ""maxiter"": 200}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""StandardScaler"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""Slice"", ""4"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""method"": 0.5}, ""4"": {}}}",0
2b3d59c11cf36c2daab19909d5055aea,DatepartRegression,"{""regression_model"": {""model"": ""MLP"", ""model_params"": {""hidden_layer_sizes"": [72, 36, 72], ""max_iter"": 250, ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""early_stopping"": false, ""learning_rate_init"": 0.001}}, ""datepart_method"": ""simple_binarized"", ""polynomial_degree"": null, ""regression_type"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""PCA"", ""1"": ""FFTDecomposition""}, ""transformation_params"": {""0"": {""whiten"": false}, ""1"": {""n_harmonics"": ""mid20"", ""detrend"": null}}}",0
2d681884693b0148b40d9a135220df15,ConstantNaive,"{""constant"": 0}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""Detrend"", ""1"": ""PCA"", ""2"": ""FFTDecomposition"", ""3"": ""Slice"", ""4"": ""RollingMean100thN""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""1"": {""whiten"": false}, ""2"": {""n_harmonics"": ""mid20"", ""detrend"": null}, ""3"": {""method"": 0.5}, ""4"": {}}}",0
2f005f4e4903cfeb89eb4e320ae5700c,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score"", ""models"": {""2a3199f94646448c27f41ff3c7b156a5"": {""Model"": ""MAR"", ""ModelParameters"": ""{\""seasonality\"": 7, \""family\"": \""gaussian\"", \""maxiter\"": 200}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""FFTDecomposition\"", \""3\"": \""Slice\"", \""4\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""n_harmonics\"": \""mid20\"", \""detrend\"": null}, \""3\"": {\""method\"": 0.5}, \""4\"": {}}}""}, ""2edb10664357cde4ff316c054af837f9"": {""Model"": ""SectionalMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""midhinge\"", \""distance_metric\"": \""nan_euclidean\"", \""include_differenced\"": false, \""k\"": 10, \""stride_size\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""ClipOutliers\"", \""1\"": \""PCA\"", \""2\"": \""EWMAFilter\"", \""3\"": \""RollingMean100thN\""}, \""transformation_params\"": {\""0\"": {\""method\"": \""clip\"", \""std_threshold\"": 2, \""fillna\"": null}, \""1\"": {\""whiten\"": false}, \""2\"": {\""span\"": 7}, \""3\"": {}}}""}, ""d8c3fa8105b9570443cbb611188523b0"": {""Model"": ""SectionalMotif"", ""ModelParameters"": ""{\""window\"": 10, \""point_method\"": \""median\"", \""distance_metric\"": \""yule\"", \""include_differenced\"": true, \""k\"": 1, \""stride_size\"": 1, \""regression_type\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill_mean_biased\"", \""transformations\"": {\""0\"": \""StandardScaler\"", \""1\"": \""PCA\"", \""2\"": \""EWMAFilter\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {\""whiten\"": false}, \""2\"": {\""span\"": 7}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
